,city,lat,long,Country,date,temperature,humidity,cloudiness,wind speed
0,Luorong,24.4058,109.6086,CN,1645501199,41.47,79,100,10.36
1,Yellowknife,62.456,-114.3525,CA,1645501200,-17.64,83,20,6.91
2,Pāsighāt,28.0667,95.3333,IN,1645501200,66.36,44,53,2.86
3,Ushuaia,-54.8,-68.3,AR,1645501201,51.46,100,75,24.16
4,Port Macquarie,-31.4333,152.9167,AU,1645501201,75.09,78,75,4.61
5,Cape Town,-33.9258,18.4232,ZA,1645500491,61.88,81,0,8.05
6,Acaraú,-2.8856,-40.12,BR,1645501202,78.62,82,5,11.61
7,Cabo San Lucas,22.8909,-109.9124,MX,1645500575,69.17,75,75,3.44
8,Mataura,-46.1927,168.8643,NZ,1645501203,49.6,98,100,2.73
9,Mar del Plata,-38.0023,-57.5575,AR,1645501057,69.31,94,40,11.99
10,Bāgeshwar,29.85,79.7667,IN,1645501203,57.9,33,80,2.24
11,Nikolskoye,59.7035,30.7861,RU,1645501204,33.03,98,100,5.93
12,Nalgonda,17.05,79.2667,IN,1645501204,80.38,49,9,5.88
13,Rikitea,-23.1203,-134.9692,PF,1645501205,77.97,70,33,5.48
14,Atuona,-9.8,-139.0333,PF,1645501205,78.67,74,3,16.78
15,Ancud,-41.8697,-73.8203,CL,1645501205,51.33,72,0,8.79
16,Guayaramerín,-10.8368,-65.3614,BO,1645501206,72.3,99,89,1.99
17,Port Alfred,-33.5906,26.891,ZA,1645501206,64.44,84,58,8.01
18,Butaritari,3.0707,172.7902,KI,1645501207,81.72,79,77,20.15
19,Hobart,-42.8794,147.3294,AU,1645501102,70.2,39,20,9.22
20,Lebu,-37.6167,-73.65,CL,1645500736,55.76,90,57,8.81
21,Arraial do Cabo,-22.9661,-42.0278,BR,1645501208,75.56,91,100,17.43
22,Tadine,-21.55,167.8833,NC,1645501208,83.46,72,95,7.87
23,Sawākin,19.1059,37.3321,SD,1645501208,68.63,59,53,8.12
24,Road Town,18.4167,-64.6167,VG,1645501209,75.99,73,0,16.69
25,Arawa,-6.2132,155.5367,PG,1645501209,85.75,73,71,2.55
26,Geraldton,-28.7667,114.6,AU,1645501210,82.81,57,1,21.85
27,Norman Wells,65.282,-126.8329,CA,1645501210,-11.16,58,20,12.66
28,Bambous Virieux,-20.3428,57.7575,MU,1645501210,80.85,89,75,23.02
29,Piombino,42.9348,10.5221,IT,1645501193,53.56,41,0,5.99
30,Souillac,-20.5167,57.5167,MU,1645501211,80.98,89,75,23.02
31,Saint George,37.1041,-113.5841,US,1645500960,50.58,25,40,13.8
32,Marzuq,14.4,46.4667,YE,1645501212,59.94,34,83,3.8
33,Kaitangata,-46.2817,169.8464,NZ,1645501212,52.38,93,100,8.12
34,Saint Paul Harbor,57.79,-152.4072,US,1645501212,40.51,87,100,14.97
35,Pereslavl'-Zalesskiy,56.7393,38.8563,RU,1645501213,33.39,98,100,11.77
36,Nanortalik,60.1432,-45.2371,GL,1645500671,9.07,76,86,10.65
37,Busselton,-33.65,115.3333,AU,1645501213,84.4,43,0,7.78
38,Clyde River,70.4692,-68.5914,CA,1645501214,-7.37,77,100,26.46
39,Bredasdorp,-34.5322,20.0403,ZA,1645501214,54.28,86,2,2.1
40,Hermanus,-34.4187,19.2345,ZA,1645501215,54.81,82,6,3.58
41,Saint-Augustin,51.226,-58.6502,CA,1645501215,-10.16,67,0,16.67
42,Hilo,19.7297,-155.09,US,1645501216,75.47,85,75,9.22
43,Evans,33.5337,-82.1307,US,1645501216,57.65,81,100,7.0
44,Punta Arenas,-53.15,-70.9167,CL,1645501216,57.31,67,40,17.27
45,Camden,39.7835,-74.9663,US,1645501217,42.35,76,86,1.01
46,Albany,42.6001,-73.9662,US,1645501125,33.03,70,71,0.09
47,Bluff,-46.6,168.3333,NZ,1645501217,56.66,64,96,20.31
48,Manta,-0.95,-80.7333,EC,1645501218,76.78,83,75,5.75
49,Letlhakane,-21.4167,25.5833,BW,1645501218,71.69,67,50,4.34
50,Thompson,55.7435,-97.8558,CA,1645501219,-20.04,69,0,0.0
51,Tuktoyaktuk,69.4541,-133.0374,CA,1645500628,-7.6,64,75,20.71
52,Bengkulu,-3.8004,102.2655,ID,1645500622,84.65,64,100,3.89
53,Halifax,44.6453,-63.5724,CA,1645501220,31.73,92,97,4.61
54,Leshukonskoye,64.8989,45.7622,RU,1645501220,7.92,98,94,3.0
55,San Luis,-33.295,-66.3356,AR,1645501180,60.46,84,97,11.83
56,Dikson,73.5069,80.5464,RU,1645500811,11.73,94,100,12.44
57,Utete,-7.986,38.758,TZ,1645501221,75.97,95,100,1.14
58,Talnakh,69.4865,88.3972,RU,1645501222,15.21,88,100,17.96
59,Novobirilyussy,56.9514,90.6661,RU,1645501222,20.26,82,83,8.93
60,Oistins,13.0667,-59.5333,BB,1645501222,77.09,78,40,16.11
61,Port Elizabeth,-33.918,25.5701,ZA,1645501223,61.09,82,0,8.05
62,Pemberton,50.3164,-122.8027,CA,1645501224,30.06,87,12,6.22
63,São Filipe,14.8961,-24.4956,CV,1645501224,69.87,75,43,8.39
64,Faanui,-16.4833,-151.75,PF,1645500623,81.05,75,100,16.78
65,Bratsk,56.1325,101.6142,RU,1645501225,14.49,91,72,6.49
66,Tuatapere,-46.1333,167.6833,NZ,1645501225,57.7,68,94,12.19
67,Kamina,-8.7386,24.9906,CD,1645501225,62.8,96,100,2.98
68,Hasaki,35.7333,140.8333,JP,1645500649,47.16,35,31,2.46
69,Pushkino,56.0172,37.8667,RU,1645501226,34.02,98,100,11.86
70,Sola,-13.8833,167.55,VU,1645501226,81.27,94,75,2.3
71,Calama,-22.4667,-68.9333,CL,1645501227,57.69,58,0,4.61
72,Bethel,41.3712,-73.414,US,1645501227,33.91,74,0,0.0
73,Isangel,-19.55,169.2667,VU,1645501228,89.71,62,40,6.91
74,Pascagoula,30.3658,-88.5561,US,1645501020,67.82,92,100,11.5
75,Aklavik,68.2191,-135.0107,CA,1645501228,-3.17,78,100,23.2
76,Thai Binh,20.45,106.3333,VN,1645501053,53.6,67,99,8.97
77,Vila,42.0304,-8.1588,PT,1645501229,35.71,88,52,4.27
78,Shirokiy,49.758,129.523,RU,1645501229,6.24,81,97,12.5
79,Jamestown,42.097,-79.2353,US,1645501230,43.32,45,100,3.44
80,Qaanaaq,77.484,-69.3632,GL,1645501230,-7.76,55,25,8.93
81,Esim,4.8699,-2.2405,GH,1645501230,78.96,90,40,7.09
82,Saint-Philippe,-21.3585,55.7679,RE,1645501231,76.59,87,100,25.26
83,Keelung,25.1283,121.7419,TW,1645501231,60.57,92,100,16.73
84,Ambilobe,-13.2,49.05,MG,1645501232,75.99,93,100,6.71
85,Necochea,-38.5473,-58.7368,AR,1645500979,65.03,92,86,9.06
86,Esperance,-33.8667,121.9,AU,1645501232,89.44,40,1,3.38
87,Marfino,55.7028,37.3822,RU,1645501233,34.36,97,100,8.95
88,Barrow,71.2906,-156.7887,US,1645501202,15.82,79,100,12.66
89,Severo-Kuril'sk,50.6789,156.125,RU,1645501138,31.06,81,100,42.55
90,Alta Floresta,-9.8756,-56.0861,BR,1645501234,70.61,98,92,3.67
91,Pacific Grove,36.6177,-121.9166,US,1645501142,48.25,77,20,14.0
92,Valpoi,15.5305,74.1356,IN,1645501234,74.77,29,6,0.94
93,Ribeira Grande,38.5167,-28.7,PT,1645501235,57.06,67,23,1.1
94,Rio Grande,-32.035,-52.0986,BR,1645501235,75.31,84,65,11.56
95,Boralday,43.3578,76.8594,KZ,1645501236,28.26,74,22,2.24
96,Gaoua,10.2992,-3.2508,BF,1645501236,73.17,13,21,4.72
97,Porgera,-5.4667,143.2,PG,1645501236,50.79,94,100,2.82
98,Todos Santos,23.45,-110.2167,MX,1645501237,64.54,78,25,8.95
99,George Town,5.4112,100.3354,MY,1645501131,84.13,82,20,2.3
100,Salinópolis,-0.6136,-47.3561,BR,1645501237,79.61,85,87,12.3
101,Hambantota,6.1241,81.1185,LK,1645501238,82.74,89,40,4.61
102,Waingapu,-9.6567,120.2641,ID,1645501238,81.64,75,99,9.93
103,Constitución,-35.3333,-72.4167,CL,1645501239,56.5,93,63,8.03
104,Cayenne,4.9333,-52.3333,GF,1645501239,76.08,91,100,3.44
105,Kapaa,22.0752,-159.319,US,1645501186,73.54,67,0,14.97
106,Mahébourg,-20.4081,57.7,MU,1645501239,80.89,89,75,23.02
107,Jaciara,-15.9653,-54.9683,BR,1645501240,68.85,95,6,2.44
108,Corner Brook,48.9667,-57.9484,CA,1645501137,21.36,85,70,12.26
109,Dan Khun Thot,15.2085,101.7714,TH,1645501240,75.38,52,9,13.62
110,Amahai,-3.3333,128.9167,ID,1645501241,79.72,78,100,13.56
111,Abadan,38.0507,58.2056,TM,1645501241,44.33,93,100,6.91
112,Along,28.1667,94.7667,IN,1645501242,63.05,52,56,0.98
113,Annau,37.8876,58.516,TM,1645501242,44.1,93,100,6.91
114,Krasnosel'kup,65.7,82.4667,RU,1645501242,17.26,94,100,16.78
115,Beian,63.6559,9.5683,NO,1645501243,31.69,93,75,13.8
116,Tiksi,71.6872,128.8694,RU,1645501243,1.0,87,100,11.59
117,Castro,-24.7911,-50.0119,BR,1645501244,62.91,89,0,1.36
118,Moramanga,-18.9333,48.2,MG,1645501244,64.2,95,100,10.18
119,Nador,35.174,-2.9287,MA,1645501207,50.25,93,0,2.3
120,Vaini,-21.2,-175.2,TO,1645501245,84.36,89,75,12.66
121,Luganville,-15.5333,167.1667,VU,1645501245,85.59,68,63,7.92
122,Avarua,-21.2078,-159.775,CK,1645500731,82.45,83,20,17.27
123,Krutikha,53.9599,81.2093,RU,1645501246,16.95,92,49,6.96
124,New Norfolk,-42.7826,147.0587,AU,1645501246,72.86,22,3,2.95
125,Tasiilaq,65.6145,-37.6368,GL,1645501247,28.56,74,100,37.2
126,Adrar,20.5022,-10.0711,MR,1645501247,78.39,19,100,10.56
127,Yar-Sale,66.8333,70.8333,RU,1645501247,18.27,96,100,8.25
128,College,64.8569,-147.8028,US,1645501067,17.65,81,100,3.44
129,Mandera,3.9366,41.867,KE,1645501248,78.51,37,85,9.13
130,Union City,37.5958,-122.0192,US,1645501052,48.06,75,0,18.41
131,Devecser,47.1032,17.438,HU,1645501248,39.2,79,96,11.03
132,Kavaratti,10.5669,72.642,IN,1645501249,80.92,61,0,9.73
133,Guaratinga,-16.5667,-39.5667,BR,1645501249,74.07,96,3,1.57
134,Twentynine Palms,34.1356,-116.0542,US,1645501250,50.14,46,0,3.0
135,Provideniya,64.3833,-173.3,RU,1645501250,32.11,93,100,24.61
136,Hualmay,-11.0964,-77.6139,PE,1645501250,72.0,80,100,6.17
137,Djenné,13.9061,-4.5533,ML,1645501251,73.47,8,16,9.8
138,Yamada,39.4667,141.95,JP,1645501251,31.89,46,8,20.45
139,Anadyr,64.75,177.4833,RU,1645501252,-3.51,84,75,15.66
140,Iqaluit,63.7506,-68.5145,CA,1645501252,-27.67,75,75,19.57
141,Upernavik,72.7868,-56.1549,GL,1645501252,-25.19,100,100,1.32
142,Beringovskiy,63.05,179.3167,RU,1645501253,1.47,91,100,9.48
143,Amazar,53.858,120.875,RU,1645501253,13.87,58,98,3.58
144,Cidreira,-30.1811,-50.2056,BR,1645501254,72.99,84,67,8.19
145,Makakilo City,21.3469,-158.0858,US,1645501115,77.97,66,100,12.66
146,Prince George,53.9166,-122.753,CA,1645501220,5.4,57,0,12.66
147,Lodja,-3.4833,23.4333,CD,1645501254,70.43,94,100,1.21
148,Pevek,69.7008,170.3133,RU,1645501255,-30.46,95,100,2.24
149,Rapid Valley,44.0625,-103.1463,US,1645501077,-4.54,77,100,26.46
150,Emba,48.8264,58.1442,KZ,1645501255,30.45,99,99,5.7
151,Mpraeso,6.5932,-0.7346,GH,1645501256,71.04,94,62,1.99
152,East London,-33.0153,27.9116,ZA,1645500555,65.34,88,0,2.3
153,Sungai Raya,0.7,108.9,ID,1645501256,85.71,61,100,2.86
154,Ambanja,-13.6833,48.45,MG,1645501257,75.13,93,100,2.15
155,Ponta do Sol,32.6667,-17.1,PT,1645501257,63.1,52,44,11.25
156,Naryan-Mar,67.6713,53.087,RU,1645501257,8.58,96,99,5.26
157,Tezu,27.9167,96.1667,IN,1645501258,68.23,26,21,3.33
158,Seoul,37.5683,126.9778,KR,1645501200,29.95,30,0,12.66
159,Namatanai,-3.6667,152.4333,PG,1645501258,84.65,66,50,7.23
160,Aykhal,66.0,111.5,RU,1645501259,8.42,82,26,10.85
161,Athabasca,54.7169,-113.2854,CA,1645501259,-19.01,94,63,4.54
162,Vao,-22.6667,167.4833,NC,1645501260,80.19,80,96,11.95
163,Kalas,18.1667,74.8,IN,1645501260,79.2,17,19,4.05
164,Saskylakh,71.9167,114.0833,RU,1645501261,10.83,91,100,5.57
165,Zhigansk,66.7697,123.3711,RU,1645501261,-6.11,96,96,11.21
166,Sept-Îles,50.2001,-66.3821,CA,1645500961,-5.28,41,75,12.66
167,Srednekolymsk,67.45,153.6833,RU,1645501262,-27.31,94,61,5.3
168,Lorengau,-2.0226,147.2712,PG,1645501262,77.22,91,100,13.22
169,Mandalgovi,45.7625,106.2708,MN,1645501262,15.37,49,0,10.18
170,Chulym,55.0997,80.9572,RU,1645501263,19.72,95,92,10.42
171,Portland,45.5234,-122.6762,US,1645501091,36.39,92,75,6.91
172,Hong Kong,22.2855,114.1577,HK,1645501012,50.95,93,100,8.99
173,Médéa,36.2642,2.7539,DZ,1645501263,32.45,72,0,2.26
174,Zhezkazgan,47.8043,67.7144,KZ,1645501264,13.98,79,100,11.18
175,Paita,-5.0892,-81.1144,PE,1645501264,71.82,79,54,8.23
176,Bonoua,5.2741,-3.595,CI,1645501265,78.42,93,97,4.45
177,Poum,-20.2333,164.0167,NC,1645501265,83.12,75,80,20.07
178,Moose Factory,51.2585,-80.6094,CA,1645501266,-20.22,69,0,2.3
179,Eureka,40.8021,-124.1637,US,1645500969,41.49,81,80,14.38
180,Belmonte,-15.8631,-38.8828,BR,1645501266,75.7,83,14,2.08
181,Celestún,20.8667,-90.4,MX,1645501267,78.57,63,0,11.43
182,Dudinka,69.4058,86.1778,RU,1645501267,15.62,93,100,21.09
183,Sokoni,-6.4333,39.55,TZ,1645501268,78.66,82,100,11.23
184,Hargeisa,9.56,44.065,SO,1645501268,60.03,86,76,13.02
185,Buin,-33.7333,-70.75,CL,1645501268,61.72,75,26,2.73
186,Villa Unión,23.2,-106.2333,MX,1645501269,69.76,56,20,0.0
187,Alofi,-19.0595,-169.9187,NU,1645501269,76.89,88,100,5.75
188,Mahdalynivka,48.921,34.9156,UA,1645501270,32.58,87,100,11.18
189,Zeya,53.75,127.2667,RU,1645501270,11.39,56,68,4.5
190,Mandlā,22.6,80.3833,IN,1645501271,76.71,16,0,3.22
191,Puerto Ayora,-0.7393,-90.3518,EC,1645501271,77.56,92,25,3.0
192,Karachi,24.9056,67.0822,PK,1645501176,73.22,78,0,11.5
193,Severnoye,56.3491,78.3619,RU,1645501272,23.07,95,95,7.92
194,Grindavik,63.8424,-22.4338,IS,1645500768,36.07,93,75,14.97
195,Port-Gentil,-0.7193,8.7815,GA,1645501272,80.76,81,96,8.25
196,Berlevåg,70.8578,29.0864,NO,1645501272,15.8,78,100,5.3
197,Buraidah,26.326,43.975,SA,1645501273,45.05,36,1,3.85
198,Sinnamary,5.3833,-52.95,GF,1645501273,76.71,90,100,6.22
199,Marsh Harbour,26.5412,-77.0636,BS,1645501274,72.93,77,20,18.25
200,Bilma,18.6853,12.9164,NE,1645501274,63.73,11,0,5.77
201,Takoradze,4.8845,-1.7554,GH,1645501275,78.76,91,37,6.98
202,Berbera,10.4396,45.0143,SO,1645501275,74.12,77,33,2.04
203,Dordrecht,51.81,4.6736,NL,1645501275,40.89,88,54,4.0
204,Otradnoye,59.7775,30.8181,RU,1645501276,33.01,99,100,5.68
205,Havelock,34.8791,-76.9013,US,1645501276,58.75,85,100,3.0
206,Fatsa,41.0278,37.5014,TR,1645501082,40.8,68,9,9.69
207,Chul'man,56.8479,124.9104,RU,1645501277,12.4,87,100,6.04
208,Meulaboh,4.1363,96.1285,ID,1645501277,84.31,68,85,1.05
209,Sawtell,-30.3833,153.1,AU,1645501278,73.72,92,75,5.75
210,Siderno,38.2779,16.302,IT,1645501278,48.79,75,35,25.32
211,Kavieng,-2.5744,150.7967,PG,1645501278,81.95,76,100,10.85
212,Muroto-misakicho,33.2833,134.15,JP,1645501279,51.84,43,8,18.28
213,Terney,45.0503,136.6092,RU,1645501279,18.34,64,100,11.86
214,Mount Isa,-20.7333,139.5,AU,1645501280,94.77,15,5,6.91
215,Coquimbo,-29.9533,-71.3436,CL,1645501159,60.53,88,0,5.75
216,Kapuskasing,49.4169,-82.4331,CA,1645501280,-7.6,71,100,6.91
217,Stokmarknes,68.5646,14.9108,NO,1645501281,19.49,86,22,5.03
218,Husavik,66.0449,-17.3389,IS,1645501281,35.91,79,82,54.72
219,Sulangan,11.1373,123.7228,PH,1645501282,80.49,78,100,15.57
220,Vila Franca do Campo,37.7167,-25.4333,PT,1645501282,59.2,70,91,7.11
221,Princeton,25.5384,-80.4089,US,1645501283,70.56,81,0,5.75
222,Evensk,61.95,159.2333,RU,1645501283,-9.65,82,1,3.6
223,Narsaq,60.9167,-46.05,GL,1645501283,-3.78,72,96,7.11
224,Samarai,-10.6167,150.6667,PG,1645501284,85.64,70,100,9.13
225,Waterloo,43.4668,-80.5164,CA,1645501284,33.31,93,100,12.66
226,Tashtyp,52.7939,89.8983,RU,1645501285,20.44,76,86,1.97
227,Almaznyy,48.0448,40.045,RU,1645501285,32.14,94,100,7.52
228,Chui,-33.6971,-53.4616,UY,1645501285,66.33,85,17,9.66
229,Wanlaweyn,2.6185,44.8938,SO,1645501286,75.11,78,51,12.62
230,Williston,48.147,-103.618,US,1645500720,-9.47,71,100,1.01
231,Chipinge,-20.1883,32.6236,ZW,1645501286,62.28,97,25,3.2
232,Praia da Vitória,38.7333,-27.0667,PT,1645501287,52.05,87,20,3.6
233,Valentín Gómez Farías,28.2167,-106.5833,MX,1645501287,52.54,37,59,27.11
234,Victoria Point,-27.5833,153.3,AU,1645501288,82.67,76,4,5.01
235,Mīnāb,27.1467,57.0801,IR,1645500703,58.5,65,2,3.04
236,Lavrentiya,65.5833,-171.0,RU,1645501288,23.79,97,100,4.7
237,Vostok,46.4856,135.8833,RU,1645501288,7.39,86,100,7.72
238,Codrington,-38.2667,141.9667,AU,1645501289,66.06,52,0,18.12
239,Xining,36.6167,101.7667,CN,1645501289,21.36,43,2,4.59
240,Sheffield,53.383,-1.4659,GB,1645501272,43.47,88,100,1.99
241,Knyaze-Volkonskoye,48.4642,135.4567,RU,1645501290,6.3,79,100,9.73
242,Cobija,-11.0267,-68.7692,BO,1645501290,71.11,98,90,1.52
243,Cap Malheureux,-19.9842,57.6142,MU,1645501291,82.47,83,100,13.0
244,Sioux Lookout,50.1001,-91.917,CA,1645501291,-9.33,64,100,4.61
245,Puerto Plata,19.7934,-70.6884,DO,1645501291,69.6,100,20,0.0
246,Ceuta,35.8903,-5.3075,ES,1645501292,55.44,86,7,7.78
247,Fortuna,40.5982,-124.1573,US,1645501292,41.11,93,75,6.91
248,Beloha,-25.1667,45.05,MG,1645501293,75.96,82,0,11.1
249,Leningradskiy,69.3833,178.4167,RU,1645501293,-22.65,98,100,10.83
250,Cherskiy,68.75,161.3,RU,1645501293,-41.91,97,100,4.18
251,Malibu,34.005,-118.8101,US,1645501294,53.28,87,0,2.57
252,Vila Velha,-20.3297,-40.2925,BR,1645500794,74.95,94,0,3.44
253,Ulcinj,41.9294,19.2244,ME,1645501294,51.93,88,100,4.99
254,Tagāb,34.855,69.6492,AF,1645501296,42.75,84,99,6.38
255,Dobruševo,41.1686,21.4825,MK,1645501296,44.67,86,66,2.33
256,Pantai Remis,4.4557,100.6288,MY,1645501297,86.02,67,92,3.71
257,Nizhniy Kuranakh,58.8353,125.4869,RU,1645501297,16.75,92,100,10.49
258,São João da Barra,-21.6403,-41.0511,BR,1645501297,76.24,92,100,8.63
259,Marawi,7.9986,124.2928,PH,1645501298,73.65,47,97,5.95
260,Deputatsky,69.3,139.9,RU,1645501298,-15.18,79,95,4.88
261,Tsuruoka,38.7217,139.8217,JP,1645501299,32.04,55,75,21.85
262,Half Moon Bay,37.4636,-122.4286,US,1645501299,47.98,78,100,19.57
263,Alice Springs,-23.7,133.8833,AU,1645501299,87.35,25,0,5.75
264,Te Anau,-45.4167,167.7167,NZ,1645501300,56.68,91,98,1.86
265,Galle,6.0367,80.217,LK,1645501225,82.69,73,25,1.95
266,Avenal,36.0041,-120.129,US,1645501300,45.32,39,15,5.61
267,Den Helder,52.9599,4.7593,NL,1645501301,42.64,83,100,17.0
268,Callaguip,18.0714,120.4867,PH,1645501301,84.22,74,75,5.75
269,Rocha,-34.4833,-54.3333,UY,1645501302,67.66,78,99,9.42
270,Sitka,57.0531,-135.33,US,1645501302,33.69,51,20,4.61
